Detalhe Total de Eventos Lançados por Data

Número Processo	Classe	Evento Judicial	Data evento
5000002-79.2012.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:07:06
5000006-82.2013.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Conclusos para decisão/despacho	06/02/2025 16:08:11
5000008-71.2021.8.21.0105/RS	EXECUÇÃO FISCAL	Conclusos para decisão/despacho	06/02/2025 13:09:29
5000012-02.2007.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Juntada de Certidão - Exclusão de advogado/procurador	06/02/2025 15:54:51
5000012-02.2007.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Juntada de Certidão - Exclusão de advogado/procurador	06/02/2025 15:54:53
5000012-02.2007.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Expedida/certificada a intimação eletrônica	06/02/2025 15:55:39
5000016-92.2014.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:45:25
5000029-77.2003.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:38:04
5000032-95.2004.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Processo Suspenso ou Sobrestado por decisão judicial - Aguarda decisão da instância superior	06/02/2025 15:57:41
5000037-05.2013.8.21.0105/RS	EXECUÇÃO FISCAL	Conclusos para decisão/despacho	06/02/2025 13:10:25
5000038-97.2007.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Processo Suspenso ou Sobrestado por decisão judicial - Aguarda Pagamento	06/02/2025 13:26:56
5000041-18.2008.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Levantada a suspensão ou sobrestamento dos autos	06/02/2025 13:23:31
5000041-18.2008.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:23:38
5000043-41.2015.8.21.0105/RS	EMBARGOS À EXECUÇÃO	Remetidos os Autos - Custas	06/02/2025 17:03:42
5000045-40.2017.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Conclusos para decisão/despacho	06/02/2025 18:31:00
5000048-78.2006.8.21.0105/RS	EXECUÇÃO FISCAL (UNIÃO)	Baixa Definitiva	06/02/2025 13:04:55
5000049-53.2012.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Transitado em Julgado	06/02/2025 13:39:56
5000049-53.2012.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Remetidos os Autos - Custas	06/02/2025 13:40:08
5000055-89.2014.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:32:02
5000055-89.2014.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:32:02
5000055-89.2014.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica	06/02/2025 18:32:02
5000070-24.2015.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 15:09:05
5000071-29.2003.8.21.0105/RS	CUMPRIMENTO DE SENTENÇA	Cumprimento de Suspensão ou Sobrestamento	06/02/2025 13:24:09
5000071-43.2014.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Conclusos para decisão/despacho	06/02/2025 13:59:55
5000073-71.2018.8.21.0105/RS	PROCEDIMENTO COMUM CÍVEL	Expedida/certificada a intimação eletrônica - Contrarrazões	06/02/2025 16:59:45
5000075-22.2010.8.21.0105/RS	EXECUÇÃO FISCAL (UNIÃO)	Processo Suspenso ou Sobrestado por decisão judicial - Parcelamento do Débito	06/02/2025 16:11:49
5000077-55.2011.8.21.0105/RS	EXECUÇÃO DE TÍTULO EXTRAJUDICIAL	Transitado em Julgado	06/02/2025 16:22:24
